Date,Open,High,Low,Close,Volume,Adj Close
2004-04-08,82.699997,83.190002,81.800003,81.980003,2356400,29.197379
2004-04-12,82.199997,83.800003,82.00,83.75,3497000,29.827767
2004-04-13,83.860001,84.150002,81.400002,82.019997,5195400,29.211622
2004-04-14,81.669998,82.389999,80.150002,81.029999,5116200,28.859032
2004-04-15,81.25,81.959999,80.290001,80.800003,3980400,28.777119
2004-04-16,81.699997,82.059998,80.790001,81.970001,3499800,29.193816
2004-04-19,81.949997,81.959999,80.699997,81.00,3235800,28.848348
2004-04-20,81.25,82.07,79.860001,79.980003,4575000,28.485074
2004-04-21,80.00,81.18,78.419998,81.080002,6023400,28.876841
2004-04-22,83.00,84.760002,81.669998,84.099998,10813200,30.089732
2004-04-23,84.110001,84.309998,81.75,81.959999,7014600,29.324072
2004-04-26,82.00,82.07,80.830002,80.900002,4947600,28.94482
2004-04-27,81.300003,82.00,80.910004,81.800003,4461000,29.266828
2004-04-28,82.00,82.169998,79.139999,79.699997,5506000,28.515477
2004-04-29,80.300003,80.300003,76.989998,77.580002,6920200,27.756974
2004-04-30,78.00,78.949997,77.129997,77.730003,5599600,27.810642
2004-05-03,77.900002,79.699997,77.860001,79.370003,3710600,28.39741
2004-05-04,79.370003,79.620003,78.010002,79.010002,4164000,28.268607
2004-05-05,78.989998,79.150002,78.199997,78.800003,3516000,28.193472
2004-05-06,78.400002,78.400002,76.709999,77.849998,3812800,27.853575
2004-05-07,77.400002,78.529999,77.110001,77.120003,4857000,27.592393
2004-05-10,76.099998,76.110001,72.220001,72.879997,14209400,26.075382
2004-05-11,73.260002,73.610001,72.699997,73.099998,7685400,26.154095
2004-05-12,73.300003,74.900002,72.290001,74.860001,6281200,26.783798
2004-05-13,74.480003,75.650002,73.860001,74.660004,4856800,26.712242
2004-05-14,74.50,76.209999,74.029999,75.690002,4854400,27.08076
2004-05-17,74.300003,74.449997,72.699997,73.540001,5203400,26.311521
2004-05-18,74.550003,74.699997,73.110001,73.75,4745200,26.386656
2004-05-19,74.50,75.25,73.559998,73.800003,5559800,26.404546
2004-05-20,73.800003,73.809998,72.099998,72.260002,6378200,25.853557
2004-05-21,72.559998,73.080002,72.010002,73.029999,4399800,26.12905
2004-05-24,75.00,75.75,73.650002,74.00,7180200,26.476102
2004-05-25,73.800003,74.669998,73.370003,74.650002,5267800,26.708663
2004-05-26,74.650002,75.209999,74.50,74.849998,4146800,26.780219
2004-05-27,75.25,76.470001,74.639999,75.169998,4933400,26.89471
2004-05-28,75.25,75.790001,74.949997,75.349998,2859200,26.959112
2004-06-01,75.349998,76.330002,75.059998,75.959999,3725600,27.177361
2004-06-02,76.099998,76.739998,75.720001,76.419998,4106000,27.341942
2004-06-03,76.029999,76.339996,75.099998,75.150002,3496600,26.887556
2004-06-04,75.610001,76.309998,74.300003,75.50,4757400,27.01278
2004-06-07,76.199997,77.760002,76.150002,77.699997,3319800,27.799906
2004-06-08,77.199997,77.75,76.760002,77.120003,3924400,27.592393
2004-06-09,76.980003,77.150002,75.330002,75.400002,4578800,26.977002
2004-06-10,75.650002,76.150002,75.199997,75.599998,3345800,27.048558
2004-06-14,75.599998,75.610001,74.610001,74.760002,2451600,26.74802
2004-06-15,75.00,75.839996,74.870003,75.389999,4769800,26.973423
2004-06-16,75.419998,75.599998,73.889999,74.010002,5287800,26.479681
2004-06-17,74.010002,74.889999,74.00,74.720001,4065200,26.733708
